java_file,go_file,status
geomgraph/index/SweepLineSegment.java,geomgraph_index_sweep_line_segment.go,ported
geomgraph/Label.java,geomgraph_label.go,ported
geomgraph/NodeFactory.java,geomgraph_node_factory.go,ported
geomgraph/Node.java,geomgraph_node.go,ported
geomgraph/NodeMap.java,geomgraph_node_map.go,ported
geomgraph/PlanarGraph.java,geomgraph_planar_graph.go,ported
geomgraph/TopologyLocation.java,geomgraph_topology_location.go,ported
geom/impl/CoordinateArraySequenceFactory.java,geom_impl_coordinate_array_sequence_factory.go,ported
geom/impl/CoordinateArraySequence.java,geom_impl_coordinate_array_sequence.go,ported
geom/impl/CoordinateArraySequenceTest.java,geom_impl_coordinate_array_sequence_test.go,ported
geom/impl/PackedCoordinateSequence.java,geom_impl_packed_coordinate_sequence.go,ported
geom/impl/PackedCoordinateSequenceDoubleTest.java,geom_impl_packed_coordinate_sequence_double_test.go,ported
geom/impl/PackedCoordinateSequenceFactory.java,geom_impl_packed_coordinate_sequence_factory.go,ported
geom/impl/PackedCoordinateSequenceFloatTest.java,geom_impl_packed_coordinate_sequence_float_test.go,ported
geom/impl/PackedCoordinateSequenceTest.java,geom_impl_packed_coordinate_sequence_test.go,ported
geom/IntersectionMatrix.java,geom_intersection_matrix.go,ported
geom/IntersectionMatrixTest.java,geom_intersection_matrix_test.go,ported
geom/Lineal.java,geom_lineal.go,ported
geom/LinearRing.java,geom_linear_ring.go,ported
geom/LineSegment.java,geom_line_segment.go,ported
geom/LineSegmentTest.java,geom_line_segment_test.go,ported
geom/LineString.java,geom_line_string.go,ported
geom/Location.java,geom_location.go,ported
geom/MultiLineString.java,geom_multi_line_string.go,ported
geom/MultiPoint.java,geom_multi_point.go,ported
geom/MultiPolygon.java,geom_multi_polygon.go,ported
geom/Point.java,geom_point.go,ported
geom/Polygonal.java,geom_polygonal.go,ported
geom/Polygon.java,geom_polygon.go,ported
geom/Position.java,geom_position.go,ported
geom/PrecisionModel.java,geom_precision_model.go,ported
geom/PrecisionModelTest.java,geom_precision_model_test.go,ported
geom/Puntal.java,geom_puntal.go,ported
geom/Quadrant.java,geom_quadrant.go,ported
geom/TopologyException.java,geom_topology_exception.go,ported
geom/Triangle.java,geom_triangle.go,ported
geom/TriangleTest.java,geom_triangle_test.go,ported
geom/util/ComponentCoordinateExtracter.java,geom_util_component_coordinate_extracter.go,ported
geom/util/GeometryCollectionMapper.java,geom_util_geometry_collection_mapper.go,ported
geom/util/GeometryCombiner.java,geom_util_geometry_combiner.go,ported
geom/util/GeometryEditor.java,geom_util_geometry_editor.go,ported
geom/util/GeometryExtracter.java,geom_util_geometry_extracter.go,ported
geom/util/GeometryExtracterTest.java,geom_util_geometry_extracter_test.go,ported
geom/util/GeometryMapper.java,geom_util_geometry_mapper.go,ported
geom/util/GeometryMapperTest.java,geom_util_geometry_mapper_test.go,ported
geom/util/GeometryTransformer.java,geom_util_geometry_transformer.go,ported
geom/util/LinearComponentExtracter.java,geom_util_linear_component_extracter.go,ported
geom/util/LineStringExtracter.java,geom_util_line_string_extracter.go,ported
geom/util/PointExtracter.java,geom_util_point_extracter.go,ported
geom/util/PolygonalExtracter.java,geom_util_polygonal_extracter.go,ported
geom/util/PolygonExtracter.java,geom_util_polygon_extracter.go,ported
geom/util/ShortCircuitedGeometryVisitor.java,geom_util_short_circuited_geometry_visitor.go,ported
index/ArrayListVisitor.java,index_array_list_visitor.go,ported
index/chain/MonotoneChainBuilder.java,index_chain_monotone_chain_builder.go,ported
index/chain/MonotoneChain.java,index_chain_monotone_chain.go,ported
index/chain/MonotoneChainOverlapAction.java,index_chain_monotone_chain_overlap_action.go,ported
index/chain/MonotoneChainSelectAction.java,index_chain_monotone_chain_select_action.go,ported
index/hprtree/HilbertEncoder.java,index_hprtree_hilbert_encoder.go,ported
index/hprtree/HPRtree.java,index_hprtree_hprtree.go,ported
index/hprtree/HPRtreeTest.java,index_hprtree_hprtree_test.go,ported
index/hprtree/Item.java,index_hprtree_item.go,ported
index/intervalrtree/IntervalRTreeBranchNode.java,index_intervalrtree_interval_rtree_branch_node.go,ported
index/intervalrtree/IntervalRTreeLeafNode.java,index_intervalrtree_interval_rtree_leaf_node.go,ported
index/intervalrtree/IntervalRTreeNode.java,index_intervalrtree_interval_rtree_node.go,ported
index/intervalrtree/SortedPackedIntervalRTree.java,index_intervalrtree_sorted_packed_interval_rtree.go,ported
index/intervalrtree/SortedPackedIntervalRTreeTest.java,index_intervalrtree_sorted_packed_interval_rtree_test.go,ported
index/ItemVisitor.java,index_item_visitor.go,ported
index/kdtree/KdNode.java,index_kdtree_kd_node.go,ported
index/kdtree/KdTree.java,index_kdtree_kd_tree.go,ported
index/SpatialIndex.java,index_spatial_index.go,ported
index/strtree/AbstractNode.java,index_strtree_abstract_node.go,ported
index/strtree/AbstractSTRtree.java,index_strtree_abstract_strtree.go,ported
index/strtree/Boundable.java,index_strtree_boundable.go,ported
index/strtree/BoundablePairDistanceComparator.java,index_strtree_boundable_pair_distance_comparator.go,ported
index/strtree/BoundablePair.java,index_strtree_boundable_pair.go,ported
index/strtree/EnvelopeDistance.java,index_strtree_envelope_distance.go,ported
index/strtree/EnvelopeDistanceTest.java,index_strtree_envelope_distance_test.go,ported
index/strtree/GeometryItemDistance.java,index_strtree_geometry_item_distance.go,ported
index/strtree/Interval.java,index_strtree_interval.go,ported
index/strtree/IntervalTest.java,index_strtree_interval_test.go,ported
index/strtree/ItemBoundable.java,index_strtree_item_boundable.go,ported
index/strtree/ItemDistance.java,index_strtree_item_distance.go,ported
index/strtree/SIRtree.java,index_strtree_sirtree.go,ported
index/strtree/SIRtreeTest.java,index_strtree_sirtree_test.go,ported
index/strtree/STRtree.java,index_strtree_strtree.go,ported
index/strtree/STRtreeTest.java,index_strtree_strtree_test.go,ported
io/ByteArrayInStream.java,io_byte_array_in_stream.go,ported
io/ByteOrderDataInStream.java,io_byte_order_data_in_stream.go,ported
io/ByteOrderValues.java,io_byte_order_values.go,ported
io/InStream.java,io_in_stream.go,ported
io/OrdinateFormat.java,io_ordinate_format.go,ported
io/OrdinateFormatTest.java,io_ordinate_format_test.go,ported
io/Ordinate.java,io_ordinate.go,ported
io/OutputStreamOutStream.java,io_output_stream_out_stream.go,ported
io/OutStream.java,io_out_stream.go,ported
io/ParseException.java,io_parse_exception.go,ported
io/WKBConstants.java,io_wkb_constants.go,ported
io/WKBReader.java,io_wkb_reader.go,ported
io/WKBReaderTest.java,io_wkb_reader_test.go,ported
io/WKBTest.java,io_wkb_test.go,ported
io/WKBWriter.java,io_wkb_writer.go,ported
io/WKBWriterTest.java,io_wkb_writer_test.go,ported
io/WKTConstants.java,io_wkt_constants.go,ported
io/WKTReader.java,io_wkt_reader.go,ported
io/WKTReaderTest.java,io_wkt_reader_test.go,ported
io/WKTWriter.java,io_wkt_writer.go,ported
io/WKTWriterTest.java,io_wkt_writer_test.go,ported
math/DD.java,math_dd.go,reviewed
math/DDBasicTest.java,math_dd_basic_test.go,reviewed
math/DDComputeTest.java,math_dd_compute_test.go,reviewed
math/DDIOTest.java,math_dd_io_test.go,reviewed
math/DDTest.java,math_dd_test.go,reviewed
math/MathUtil.java,math_math_util.go,reviewed
noding/BasicSegmentString.java,noding_basic_segment_string.go,ported
noding/BoundaryChainNoder.java,noding_boundary_chain_noder.go,ported
noding/FastNodingValidator.java,noding_fast_noding_validator.go,pending
noding/InteriorIntersectionFinderAdder.java,noding_interior_intersection_finder_adder.go,ported
noding/IntersectionAdder.java,noding_intersection_adder.go,ported
noding/IntersectionFinderAdder.java,noding_intersection_finder_adder.go,ported
noding/MCIndexNoder.java,noding_mc_index_noder.go,ported
noding/MCIndexSegmentSetMutualIntersector.java,noding_mc_index_segment_set_mutual_intersector.go,ported
noding/NodableSegmentString.java,noding_nodable_segment_string.go,ported
noding/NodedSegmentString.java,noding_noded_segment_string.go,ported
noding/NodedSegmentStringTest.java,noding_noded_segment_string_test.go,ported
noding/Noder.java,noding_noder.go,ported
noding/NodingValidator.java,noding_noding_validator.go,ported
noding/Octant.java,noding_octant.go,ported
noding/ScaledNoder.java,noding_scaled_noder.go,pending
noding/SegmentExtractingNoder.java,noding_segment_extracting_noder.go,ported
noding/SegmentIntersector.java,noding_segment_intersector.go,ported
noding/SegmentNode.java,noding_segment_node.go,ported
noding/SegmentNodeList.java,noding_segment_node_list.go,ported
noding/SegmentPointComparator.java,noding_segment_point_comparator.go,ported
noding/SegmentPointComparatorTest.java,noding_segment_point_comparator_test.go,ported
noding/SegmentSetMutualIntersector.java,noding_segment_set_mutual_intersector.go,ported
noding/SegmentString.java,noding_segment_string.go,ported
noding/SinglePassNoder.java,noding_single_pass_noder.go,ported
